"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.901017828,      -15.76656676,      -15.78968706,      -2.101677279,      -11.97978088
          0,           0,           1,      -4.030618301,      -2.253888357,      -3.358139895,      -2.111192937,      -9.288918132
          0,           0,           2,       -4.07390494,      -2.319309427,      -3.519447018,      -2.212851036,      -9.380957346
          0,           0,           3,      -4.108510911,      -2.385707003,      -3.667845924,      -2.278070127,       -9.47166562
          0,           0,           4,      -4.137856104,      -2.452383143,      -3.786974155,      -2.319765771,      -9.559660455
          0,           0,           5,         -4.164054,       -2.51862331,       -3.86842466,      -2.350653318,      -9.643806162
          0,           0,           6,      -4.188241635,      -2.583759035,      -3.919309198,      -2.377243894,      -9.723375529
          0,           0,           7,      -4.211025533,      -2.647238502,      -3.952879124,      -2.401810196,      -9.798110801
          0,           0,           8,      -4.232790998,      -2.708674975,      -3.978373229,      -2.424997854,       -9.86816654
          0,           0,           9,      -4.253858988,      -2.767868995,      -4.000020307,      -2.447114384,      -9.933974954
          0,           0,          10,      -4.274545971,       -2.82479468,      -4.019428008,      -2.468509835,      -9.996098826
          0,           0,          11,      -4.295179215,      -2.879562094,      -4.037346226,      -2.489598033,       -10.0551192
          0,           0,          12,      -4.316099027,      -2.932369342,      -4.054439009,       -2.51080838,       -10.1115715
          0,           0,          13,      -4.337659684,       -2.98345919,      -4.071511024,      -2.532560034,      -10.16592065
          0,           0,          14,      -4.360228615,      -3.033086522,      -4.089505653,      -2.555260179,      -10.21855913
          0,           0,          15,      -4.384176914,      -3.081499272,      -4.109404362,       -2.57930453,      -10.26981527
          0,           0,          16,       -4.40985295,      -3.128928582,      -4.132052774,      -2.605062008,      -10.31996427
          0,           0,          17,      -4.437534011,      -3.175585355,      -4.157901529,      -2.632835213,      -10.36923871
          0,           0,          18,      -4.467358998,      -3.221657326,      -4.186637862,       -2.66279908,      -10.41783738
