"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      , "tavg[RefForce]" ,    "tavg[CD]"    ,    "tavg[CL]"    ,    "tavg[CSF]"   ,    "tavg[CMx]"   ,    "tavg[CMy]"   ,    "tavg[CMz]"   ,    "tavg[CFx]"   ,    "tavg[CFy]"   ,    "tavg[CFz]"   ,   "tavg[CEff]"   
          0,           0,         149,      -6.747540382,      -5.958203058,      -6.005745666,      -4.949686969,               0.5,      0.2135658421,   -0.005586853209,                 0,                 0,                 0,      0.1048336294,      0.2135658421,   -0.005586853209,                 0,    -0.02615986318,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          1,           0,         149,      -7.241483791,      -6.078672663,      -6.267946333,      -5.430133297,               0.5,     0.07614200495,       2.468173142,                 0,                 0,                 0,        1.27173804,     0.07614200495,       2.468173142,                 0,       32.41539468,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          2,           0,         149,      -7.019136722,      -5.997693624,      -6.092344522,       -5.22230444,               0.5,  -0.0001908689782,       1.085754529,                 0,                 0,                 0,      0.5236905308,  -0.0001908689782,       1.085754529,                 0,      -5688.480857,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          3,           0,         149,      -6.870931255,      -5.756219654,       -6.01497693,      -5.065226439,               0.5,      -0.030797405,      0.7822107667,                 0,                 0,                 0,      0.3290575708,      -0.030797405,      0.7822107667,                 0,      -25.39859338,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          4,           0,         149,      -7.100885429,      -5.678430206,      -5.739491956,      -5.262019323,               0.5,    -0.03600660463,      0.5771697788,                 0,                 0,                 0,      0.2044737568,    -0.03600660463,      0.5771697788,                 0,      -16.02955304,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          5,           0,         149,      -7.162142671,      -5.945875985,      -6.214739316,      -5.349343263,               0.5,    -0.03244243309,      0.4945745531,                 0,                 0,                 0,      0.1643418951,    -0.03244243309,      0.4945745531,                 0,       -15.2446813,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          6,           0,         149,      -7.409365727,      -6.027338109,      -6.305883245,      -5.595721685,               0.5,    -0.02874187815,      0.5299173068,                 0,                 0,                 0,      0.1961593228,    -0.02874187815,      0.5299173068,                 0,      -18.43711479,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          7,           0,         149,       -6.97363203,       -5.78988365,      -6.044721947,      -5.169536446,               0.5,    -0.02618833355,      0.6295584517,                 0,                 0,                 0,      0.2580619102,    -0.02618833355,      0.6295584517,                 0,      -24.03965302,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          8,           0,         149,      -7.187542682,      -5.944440078,       -6.23846535,      -5.369341199,               0.5,    -0.02723453102,      0.6898140034,                 0,                 0,                 0,       0.285897581,    -0.02723453102,      0.6898140034,                 0,      -25.32865364,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
          9,           0,         149,      -7.551314127,      -5.944798124,        -6.3936571,       -5.66884728,               0.5,    -0.02982909182,      0.6594868063,                 0,                 0,                 0,      0.2598447997,    -0.02982909182,      0.6594868063,                 0,       -22.1088463,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         10,           0,         149,      -7.231279623,      -5.969979697,      -6.317742969,      -5.419990665,               0.5,    -0.03002521701,      0.5621873322,                 0,                 0,                 0,      0.2017405281,    -0.03002521701,      0.5621873322,                 0,       -18.7238391,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         11,           0,         149,      -7.194145505,      -6.041553403,      -6.256773661,       -5.38591198,               0.5,     -0.0291683973,      0.4807850598,                 0,                 0,                 0,      0.1605196002,     -0.0291683973,      0.4807850598,                 0,      -16.48308115,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         12,           0,         149,      -7.441845251,      -5.895885845,      -6.406361892,      -5.586122177,               0.5,    -0.03041978415,      0.4834942552,                 0,                 0,                 0,      0.1667783633,    -0.03041978415,      0.4834942552,                 0,      -15.89407251,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         13,           0,         149,      -7.288110968,      -5.901337957,      -6.302738673,      -5.457541881,               0.5,    -0.03093625529,      0.5789370057,                 0,                 0,                 0,      0.2196394202,    -0.03093625529,      0.5789370057,                 0,      -18.71386826,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
         14,           0,         149,      -3.418266927,      -2.575265249,      -2.907290049,      -1.619295455,               0.5,    -0.04109735279,      0.7014732856,                 0,                 0,                 0,      0.2722727726,    -0.04109735279,      0.7014732856,                 0,       -17.0685759,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0,                 0
