"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -2.097639711,        -12.030523,      -12.38481104,       3.371508461,       4.039851904,       7.823894015
          0,           0,           1,      -2.239558366,     0.03564873265,      0.2225783995,       3.233249088,       3.476726157,       7.263867777
          0,           0,           2,      -2.409817741,     -0.2115940327,     0.04464118094,       3.061696059,       2.946177193,       6.738462551
          0,           0,           3,      -2.496350279,     -0.2902730161,    -0.04564777819,       2.974611698,       2.467733168,       6.269118366
          0,           0,           4,      -2.550043432,     -0.3368139776,    -0.08649990677,       2.920668384,        2.06083214,       5.879596848
          0,           0,           5,      -2.585467273,     -0.3660196086,     -0.1130213174,       2.885113881,       1.734226875,       5.589437386
          0,           0,           6,      -2.609152923,     -0.3867274774,      -0.134743678,       2.861303153,       1.480653298,       5.396823245
          0,           0,           7,      -2.627647092,     -0.4041092773,     -0.1528851189,       2.842663968,       1.283531017,       5.275983538
          0,           0,           8,      -2.643506645,     -0.4192020442,     -0.1679869445,       2.826666616,       1.126379011,       5.196702471
          0,           0,           9,      -2.656984853,     -0.4322693638,     -0.1811257688,       2.813061705,      0.9968474633,       5.138074126
          0,           0,          10,      -2.668499374,     -0.4434015939,     -0.1927319875,       2.801420704,      0.8866772411,       5.089266261
          0,           0,          11,      -2.678683711,     -0.4531438904,     -0.2029918647,       2.791122755,       0.790514774,       5.044928851
          0,           0,          12,      -2.687807151,     -0.4617385512,     -0.2122362314,       2.781893705,      0.7048637925,       5.002391156
          0,           0,          13,      -2.696046017,      -0.469347152,     -0.2205817937,       2.773552814,      0.6273833704,       4.960324421
          0,           0,          14,      -2.703540263,     -0.4760559998,     -0.2281557266,       2.765959082,      0.5564585327,       4.918016914
          0,           0,          15,      -2.710388957,     -0.4820075455,     -0.2351084482,        2.75901011,      0.4909479943,       4.875188495
          0,           0,          16,      -2.716694939,      -0.487233678,     -0.2414967707,       2.752601966,       0.430019498,       4.831707805
          0,           0,          17,      -2.722500489,      -0.491858786,     -0.2472767738,       2.746692901,      0.3730543033,        4.78752908
          0,           0,          18,      -2.727834211,     -0.4959362524,     -0.2525987132,       2.741250555,      0.3195906268,       4.742624741
          0,           0,          19,        -2.7327472,     -0.4995181431,     -0.2574903849,       2.736221972,      0.2692653301,       4.697027846
          0,           0,          20,      -2.737266369,     -0.5025932142,     -0.2619080429,       2.731578942,      0.2217877897,       4.650826471
          0,           0,          21,      -2.741405786,     -0.5051540847,     -0.2659823839,       2.727305423,      0.1769170023,       4.604161525
          0,           0,          22,      -2.745186646,     -0.5072084732,     -0.2695724323,       2.723375364,      0.1344400733,       4.556982405
          0,           0,          23,      -2.748606151,      -0.508691364,     -0.2728115668,       2.719794269,     0.09416858812,       4.509174614
          0,           0,          24,      -2.751671642,     -0.5096217599,     -0.2756815243,       2.716549605,     0.05594784605,       4.460796453
          0,           0,          25,      -2.754380312,     -0.5099384879,     -0.2780439497,       2.713642929,     0.01963080354,       4.411875361
          0,           0,          26,      -2.756717535,     -0.5096098327,     -0.2801284211,       2.711085944,    -0.01487104447,       4.362622112
          0,           0,          27,      -2.758681913,     -0.5086622639,     -0.2817167655,       2.708875717,    -0.04767398419,       4.313531063
          0,           0,          28,      -2.760249614,      -0.506996683,     -0.2828828449,       2.707035881,    -0.07891290513,       4.265027547
          0,           0,          29,      -2.761404268,      -0.504623125,     -0.2836571046,       2.705578417,     -0.1087749995,        4.21792496
          0,           0,          30,      -2.762123523,     -0.5015239327,      -0.283925892,       2.704523566,     -0.1374178031,       4.173341248
          0,           0,          31,      -2.762386871,     -0.4976457369,     -0.2837546413,        2.70388951,     -0.1649284088,       4.132116661
          0,           0,          32,       -2.76216314,     -0.4929961671,     -0.2830976461,        2.70370489,     -0.1914652941,       4.094766956
          0,           0,          33,      -2.761420263,     -0.4875689662,     -0.2819826421,       2.704000768,     -0.2171050278,       4.061350257
          0,           0,          34,      -2.760137962,     -0.4813463936,     -0.2803896222,       2.704794821,      -0.241892801,       4.031542687
          0,           0,          35,      -2.758281925,     -0.4743410735,     -0.2782929256,       2.706121427,      -0.265892102,       4.005083516
          0,           0,          36,       -2.75582646,     -0.4665338275,     -0.2757477713,       2.708003961,     -0.2890990604,       3.981356277
          0,           0,          37,      -2.752754486,     -0.4579501238,     -0.2727121471,       2.710463201,     -0.3116742082,       3.959260254
          0,           0,          38,      -2.749042414,     -0.4486033643,     -0.2692303362,       2.713522757,     -0.3335545965,       3.938058778
          0,           0,          39,      -2.744689846,     -0.4385425692,     -0.2652972558,        2.71718448,     -0.3547964591,       3.917891911
          0,           0,          40,      -2.739697918,     -0.4277768703,     -0.2609711352,       2.721451304,     -0.3754254166,       3.898950485
          0,           0,          41,      -2.734070583,     -0.4163620673,     -0.2562411291,       2.726322067,      -0.395511473,       3.881555254
          0,           0,          42,      -2.727841151,     -0.4043541948,     -0.2510969043,       2.731767446,     -0.4149902931,       3.865456789
          0,           0,          43,      -2.721039512,     -0.3918143743,     -0.2456502663,       2.737761055,     -0.4339627793,       3.850416725
          0,           0,          44,      -2.713707339,     -0.3787702724,      -0.239837397,       2.744265867,     -0.4526087384,       3.836380866
