"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           0,      -4.875103804,      -14.46234818,      -16.52631429,      -3.405952895,        -1.8841049,       3.899935841
          0,           0,           1,      -5.002883078,      -4.729154252,      -4.572733039,      -3.533932472,      -2.461890735,       3.324100164
          0,           0,           2,      -5.101955045,      -4.896917563,      -4.629956022,      -3.635296352,      -3.018266375,       2.771209246
          0,           0,           3,      -5.150320403,      -4.954147584,      -4.700372362,      -3.684330621,      -3.537815666,       2.257461914
          0,           0,           4,      -5.187731231,        -5.0022674,      -4.746432748,      -3.721855608,      -4.000042833,       1.803982643
          0,           0,           5,      -5.225360383,      -5.043891868,      -4.774996556,      -3.759637977,      -4.385688195,       1.430195503
          0,           0,           6,      -5.261405431,      -5.072164757,      -4.797906705,      -3.795890369,      -4.689077254,       1.142487492
          0,           0,           7,      -5.280991898,      -5.092553623,      -4.815503123,      -3.815067734,      -4.922322299,       0.929088461
          0,           0,           8,      -5.297169879,      -5.108794644,      -4.829936638,      -3.831104036,      -5.104582016,      0.7711385934
          0,           0,           9,       -5.31215194,      -5.123951834,       -4.84136762,      -3.846126988,      -5.252097307,      0.6525428035
          0,           0,          10,      -5.325131413,       -5.13701374,      -4.852134082,      -3.859125278,      -5.375857146,      0.5605005368
          0,           0,          11,      -5.336267776,      -5.147614511,       -4.86273221,      -3.870209357,      -5.482777963,      0.4866441861
          0,           0,          12,      -5.346371124,      -5.156816946,      -4.872418285,      -3.880228941,      -5.577213025,      0.4253218569
          0,           0,          13,       -5.35574252,      -5.164994955,      -4.881289594,      -3.889489619,      -5.661991426,      0.3725528734
          0,           0,          14,        -5.3644713,      -5.172002474,      -4.889455953,      -3.898083132,      -5.739032545,      0.3253505456
          0,           0,          15,      -5.372585625,       -5.17799504,      -4.896975537,      -3.906045842,       -5.80969631,      0.2816183228
          0,           0,          16,      -5.380094227,      -5.183120315,       -4.90386666,      -3.913397622,      -5.874983938,      0.2399616334
          0,           0,          17,      -5.386981284,      -5.187646047,      -4.910197189,      -3.920133211,      -5.935657534,      0.1994850615
          0,           0,          18,      -5.393245338,      -5.191742878,      -4.916000901,      -3.926256249,      -5.992314134,      0.1596429831
          0,           0,          19,      -5.398906844,      -5.195468883,      -4.921302251,      -3.931788965,      -6.045431466,      0.1201253825
          0,           0,          20,      -5.403994542,      -5.198813682,      -4.926118666,       -3.93676039,      -6.095400452,     0.08076395474
          0,           0,          21,      -5.408535143,      -5.201734104,      -4.930475599,      -3.941197231,      -6.142547213,     0.04147171896
          0,           0,          22,      -5.412554794,      -5.204186865,      -4.934387466,       -3.94512539,      -6.187146685,    0.002200726985
          0,           0,          23,      -5.416078239,      -5.206144392,      -4.937873809,      -3.948569384,      -6.229435778,    -0.03707658293
          0,           0,          24,      -5.419126249,      -5.207587133,      -4.940943182,        -3.9515497,      -6.269619961,    -0.07637960609
          0,           0,          25,      -5.421718168,      -5.208512989,      -4.943606282,      -3.954085809,       -6.30788027,     -0.1157328822
          0,           0,          26,       -5.42386528,      -5.208931083,      -4.945866896,      -3.956188599,      -6.344376299,     -0.1551555289
          0,           0,          27,      -5.425578672,      -5.208851074,      -4.947725398,      -3.957869879,      -6.379247976,      -0.194658529
          0,           0,          28,      -5.426860801,      -5.208281097,      -4.949180048,      -3.959132552,      -6.412623448,     -0.2342236055
          0,           0,          29,      -5.427714495,      -5.207238671,      -4.950229218,      -3.959980006,      -6.444619673,     -0.2737893741
          0,           0,          30,      -5.428139051,      -5.205752322,      -4.950873773,       -3.96041189,       -6.47534307,     -0.3132515016
          0,           0,          31,      -5.428143615,      -5.203838956,      -4.951100911,      -3.960438083,      -6.504889859,     -0.3525128581
          0,           0,          32,      -5.427732818,       -5.20148637,      -4.950927931,      -3.960063566,      -6.533348764,     -0.3914470448
          0,           0,          33,       -5.42692278,      -5.198723443,      -4.950358338,      -3.959304273,      -6.560801614,     -0.4299174304
          0,           0,          34,      -5.425721606,      -5.195565298,      -4.949413645,      -3.958167883,       -6.58732426,     -0.4677688085
          0,           0,          35,      -5.424152459,      -5.192020217,      -4.948103681,      -3.956678225,      -6.612986298,     -0.5048662353
          0,           0,          36,      -5.422226598,      -5.188104193,      -4.946442801,      -3.954845723,      -6.637850518,     -0.5410312545
          0,           0,          37,       -5.41995938,      -5.183841747,      -4.944455618,      -3.952685303,      -6.661976683,     -0.5760948376
          0,           0,          38,      -5.417362846,      -5.179254139,      -4.942141146,      -3.950208642,      -6.685418285,     -0.6098893537
          0,           0,          39,      -5.414453844,      -5.174366891,      -4.939529564,      -3.947432358,      -6.708223481,     -0.6422358946
          0,           0,          40,        -5.4112478,      -5.169206854,      -4.936615075,      -3.944371632,      -6.730436083,     -0.6729397623
          0,           0,          41,      -5.407759369,      -5.163794038,      -4.933438349,      -3.941040881,      -6.752096453,     -0.7018215213
          0,           0,          42,      -5.404009604,      -5.158155125,      -4.929983233,      -3.937461012,      -6.773242079,      -0.728737956
          0,           0,          43,      -5.400013612,      -5.152319429,       -4.92628715,      -3.933645937,      -6.793907284,     -0.7535720502
          0,           0,          44,       -5.39579093,      -5.146305031,      -4.922348427,      -3.929614388,      -6.814125005,     -0.7762503006
          0,           0,          45,       -5.39136086,      -5.140140312,      -4.918196895,      -3.925384963,      -6.833924084,     -0.7968959987
          0,           0,          46,      -5.386739354,      -5.133841169,      -4.913823816,      -3.920972398,      -6.853331293,     -0.8156983571
          0,           0,          47,       -5.38195012,      -5.127439757,      -4.909287091,      -3.916399637,      -6.872370613,     -0.8329186889
          0,           0,          48,      -5.377009311,      -5.120951237,      -4.904541358,      -3.911682066,      -6.891064861,      -0.848835603
          0,           0,          49,      -5.371941423,      -5.114408823,      -4.899653754,       -3.90684285,      -6.909434224,     -0.8636057819
          0,           0,          50,      -5.366757595,      -5.107848119,      -4.894598174,       -3.90189115,      -6.927497088,     -0.8774271057
          0,           0,          51,      -5.361481918,      -5.101264555,      -4.889392047,      -3.896850311,      -6.945271116,     -0.8904301241
          0,           0,          52,      -5.356124053,      -5.094688854,      -4.884046526,      -3.891728153,      -6.962773055,     -0.9028281933
