"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          3,           0,         132,      -8.007560896,       -6.95396043,      -7.033683984,       -5.93163342,      -9.254185013,      -3.343926492
          4,           0,          65,      -8.005277709,      -6.742415611,      -7.059420978,      -5.925130151,      -9.208142862,      -3.519916182
          5,           0,          49,      -8.001968585,      -6.691902118,      -7.084507545,      -5.921368477,       -9.21465293,      -3.588817197
          6,           0,          39,      -8.002655688,      -6.656904928,      -7.070317106,      -5.921944644,      -9.214473065,      -3.618821011
          7,           0,          34,      -8.000266634,      -6.645229461,       -7.07586003,       -5.91926261,      -9.214977355,      -3.632058408
          8,           0,          34,      -8.006374648,      -6.662400823,      -7.115126737,      -5.925808516,      -9.216913533,        -3.6541804
          9,           0,          33,      -8.003752898,      -6.665152854,      -7.147890226,      -5.923328317,      -9.217203082,      -3.667884331
         10,           0,          31,      -8.003016353,      -6.659935503,      -7.141498974,      -5.923350748,      -9.216737495,      -3.672631208
         11,           0,          28,      -8.001202294,      -6.646967661,      -7.102194549,      -5.922673186,      -9.215907041,      -3.674373791
         12,           0,          27,      -8.007501367,      -6.649329459,      -7.085364598,      -5.929160488,      -9.215549585,      -3.679928975
         13,           0,          27,      -8.005010327,      -6.656370425,      -7.087585925,      -5.926013836,      -9.214731832,      -3.691133282
         14,           0,          29,      -8.002939126,      -6.676432697,      -7.116683925,      -5.923059721,      -9.213945263,      -3.703323826
         15,           0,          31,      -8.002759038,       -6.69254973,      -7.138859328,      -5.922020497,      -9.212389294,      -3.713538668
         16,           0,          32,      -8.001514589,      -6.700871774,      -7.148555207,      -5.920413473,      -9.209767987,      -3.722874174
         17,           0,          32,      -8.002427988,      -6.703356087,      -7.140130561,      -5.922241178,       -9.20643308,      -3.728573129
         18,           0,          30,      -8.005890598,      -6.691783235,      -7.104661927,      -5.927741242,      -9.202742194,      -3.740508801
         19,           0,          27,      -8.009365228,      -6.673775292,      -7.057093636,      -5.933773835,      -9.199393318,      -3.756126009
         20,           0,          26,      -8.009983767,      -6.673553798,      -7.038329976,      -5.937482825,      -9.196951437,      -3.761228656
         21,           0,          33,      -8.000419335,      -6.735332659,      -7.142125723,      -5.931175745,      -9.196120214,      -3.765427242
         22,           0,          41,      -8.004073598,      -6.791849373,      -7.222632637,      -5.935552894,      -9.193732311,      -3.773893422
         23,           0,          42,      -8.004728265,      -6.794338701,         -7.241378,       -5.93624367,      -9.188457328,      -3.769944508
         24,           0,          39,      -8.000167927,      -6.772309557,      -7.240104403,      -5.931572646,      -9.182262734,      -3.771458964
         25,           0,          38,      -8.001507441,      -6.771416513,      -7.227224841,      -5.931488345,      -9.176647504,      -3.787989721
         26,           0,          37,      -8.002350455,      -6.769561501,      -7.191086937,       -5.93002794,      -9.170298283,      -3.790821268
         27,           0,          33,       -8.00053413,       -6.74113998,      -7.130480961,      -5.924939555,      -9.163319485,      -3.780988057
         28,           0,          29,      -8.008450661,      -6.712047683,      -7.087123683,      -5.929531856,      -9.157384747,      -3.785425474
         29,           0,          26,      -8.000035103,      -6.690065282,      -7.072625764,      -5.920380063,      -9.152378884,      -3.795666062
         30,           0,          26,      -8.001649418,      -6.695541664,      -7.109677644,      -5.924342053,      -9.148106073,      -3.795582824
         31,           0,         302,      -8.017443299,      -7.070730799,      -7.241954875,      -5.958766598,      -8.462610949,      -3.247904296
         32,           0,         277,      -8.004630557,      -7.112341349,      -7.114450853,      -5.949867852,      -8.890383653,      -3.530261707
         33,           0,         234,      -8.011877622,      -6.953616635,      -7.193111227,      -5.954820487,      -8.940268538,      -3.702992997
         34,           0,         198,      -8.004678676,      -6.841538853,      -7.208721937,      -5.950039241,      -8.935100292,      -3.777145374
         35,           0,         155,      -8.007453912,      -6.603685005,      -6.888179433,      -5.940665674,      -8.924816378,      -3.842129453
         36,           0,         146,      -8.006471568,      -6.598679223,      -6.890607063,      -5.930647368,      -8.955462652,      -3.832434568
         37,           0,         146,      -8.002868685,      -6.660117717,      -6.946154831,      -5.929811439,      -8.984961512,         -3.877437
         38,           0,         141,      -8.006274333,      -6.702535925,      -6.983865966,      -5.938198698,      -8.998957274,      -3.798485987
         39,           0,         129,      -8.003395485,       -6.65007859,      -6.916310959,       -5.92061742,      -8.999262874,      -3.808845848
         40,           0,         122,      -8.003409172,      -6.615909707,      -6.894360906,      -5.909338008,      -9.001615029,      -3.836050256
         41,           0,         127,      -8.000300447,      -6.690347686,      -7.045937659,      -5.916232936,      -9.015192276,      -3.830159263
         42,           0,         121,      -8.000909084,      -6.655020956,      -7.002086081,      -5.928447987,      -8.999634335,      -3.835991264
         43,           0,         122,      -8.003806399,      -6.686848397,      -7.052510385,      -5.944585842,      -9.000588297,      -3.812772546
         44,           0,         116,      -8.000412817,       -6.64316386,      -6.988159669,      -5.937479474,      -8.986118599,       -3.81502746
         45,           0,         114,      -8.003246895,       -6.63744562,      -6.990758221,      -5.931058546,       -8.98301046,      -3.868081971
         46,           0,         116,      -8.004542429,      -6.667902646,       -7.05936823,      -5.929337663,       -8.98940313,      -3.878478851
         47,           0,         114,      -8.003942464,      -6.657365787,      -7.053611111,      -5.932470035,      -8.983351463,      -3.854340147
         48,           0,         116,      -8.005368079,      -6.686819722,       -7.09740288,      -5.940726825,      -8.990320693,      -3.840919048
         49,           0,         114,      -8.004232464,      -6.675995129,      -7.075538078,      -5.940509763,       -8.98319941,      -3.850970375
         50,           0,         113,      -8.006437604,      -6.675467319,      -7.083549972,       -5.93954718,      -8.979453596,      -3.863207905
         51,           0,         112,      -8.001908918,      -6.668990347,      -7.095993648,      -5.933606879,      -8.975167028,       -3.87094033
         52,           0,         112,      -8.002775626,      -6.670491873,      -7.111464653,      -5.937125876,      -8.975174796,      -3.867633466
         53,           0,         114,      -8.001043217,      -6.691377934,      -7.141633088,      -5.939276914,      -8.983362566,      -3.864939257
         54,           0,         114,        -8.0026661,      -6.693179911,      -7.139325991,      -5.941342896,      -8.984379056,      -3.870235919
         55,           0,         113,      -8.002547347,      -6.687275089,       -7.13743559,      -5.939024582,      -8.981866698,      -3.889193145
         56,           0,         113,      -8.005966757,      -6.688437409,      -7.150649945,      -5.941351419,      -8.982023038,      -3.903006056
         57,           0,         112,      -8.000913753,      -6.679172037,      -7.147000236,      -5.937777946,      -8.976053827,      -3.886440013
         58,           0,         114,      -8.006742017,      -6.697243853,      -7.171372675,      -5.945739828,       -8.98251148,      -3.888844086
         59,           0,         114,      -8.005215632,      -6.697741094,      -7.169601999,      -5.944575203,      -8.980123762,         -3.887082
         60,           0,         113,      -8.000233507,      -6.690343152,      -7.166417432,      -5.938285435,      -8.973594075,      -3.896249938
         61,           0,         113,      -8.003756584,      -6.691373332,      -7.174559818,      -5.941137759,      -8.970201386,      -3.904173685
         62,           0,         113,      -8.005206021,      -6.691620663,      -7.178449138,      -5.943712443,      -8.965459113,      -3.893154329
         63,           0,         114,      -8.008014806,      -6.697971318,      -7.190271563,      -5.948018923,      -8.965549496,      -3.887910705
         64,           0,         114,      -8.007324027,      -6.697247978,      -7.189970796,      -5.947633664,       -8.96080205,      -3.888120686
         65,           0,         113,      -8.001172666,      -6.688547226,      -7.186614365,      -5.940737284,      -8.950490988,      -3.891173468
         66,           0,         113,      -8.004522102,      -6.688438221,      -7.194303595,      -5.943843889,      -8.944057448,      -3.895171301
         67,           0,         113,      -8.003635984,      -6.686646268,      -7.197589603,      -5.943747551,      -8.936704345,      -3.884974334
         68,           0,         114,      -8.006203745,      -6.693801631,      -7.207430345,        -5.9471462,      -8.933621695,      -3.886064383
         69,           0,         114,      -8.004398448,      -6.693267414,      -7.206469649,      -5.945300984,      -8.926126395,      -3.886982911
         70,           0,         114,      -8.007285842,      -6.693152814,       -7.21195991,      -5.947447474,       -8.91962596,      -3.893351355
