"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[k]"     ,     "rms[w]"     ,       "CD"       ,       "CL"       
          0,           0,         865,      -8.021941083,      -8.102938474,      -7.561838643,      -10.62113325,       -2.10034246,       1.055092293,       5.048538246
          1,           0,        1999,      -5.468852776,      -4.207496881,      -4.306762672,      -4.236161799,       1.443230404,     -0.3972296208,      -1.505884304
          2,           0,        1999,      -5.735595689,      -4.227845882,      -3.886384801,      -4.125403437,       1.773623033,     0.01606949039,      0.3476664024
          3,           0,        1999,      -6.527734588,      -6.335225226,      -6.482981638,      -8.402525503,      -2.973922872,      0.1260930389,       1.019679189
          4,           0,         569,      -8.005129708,      -7.959455216,      -7.519460913,      -9.352978884,      -4.133197965,     0.07615887485,      0.8212979053
          5,           0,         496,      -8.004043078,      -7.914177411,      -7.494749555,      -9.561963236,       -3.94311757,     0.08447649654,      0.9335912301
          6,           0,         417,      -8.009236233,      -7.661272141,      -7.426673619,      -9.520679288,      -3.709622095,     0.08272240577,      0.9673428011
          7,           0,         252,       -8.00266965,      -7.190816022,      -7.591369129,      -8.884282756,      -3.319685959,     0.08023466593,      0.9988831632
          8,           0,         276,      -8.067362624,      -7.045224051,      -7.087459689,      -8.835392689,      -3.463669732,     0.07802846637,       1.028567942
          9,           0,         267,      -8.001299783,      -7.031957146,      -7.073579777,      -8.867327893,      -3.308206129,     0.07530635255,       1.054855786
         10,           0,         253,      -8.003044486,       -7.26992921,      -7.465158377,      -8.887970421,      -3.311512428,     0.07267235896,       1.078909819
         11,           0,         237,      -8.008554987,      -7.190380793,      -7.439270823,      -8.877123674,      -3.306703328,      0.0699355397,       1.099657246
         12,           0,         225,      -8.005825527,       -7.12329083,       -7.41154921,      -8.854967516,      -3.289439527,     0.06708279002,       1.117094418
         13,           0,         217,      -8.002970335,      -7.080200474,      -7.391809747,      -8.824720428,      -3.276361611,     0.06419587521,       1.131891828
         14,           0,         212,      -8.002550253,      -7.054038337,      -7.389826669,      -8.797195234,      -3.274155702,     0.06136329649,        1.14478104
         15,           0,         210,      -8.007034767,      -7.042722611,      -7.394447636,      -8.782124734,      -3.278096025,     0.05867950206,       1.156586142
         16,           0,         208,      -8.006136846,      -7.027687464,      -7.395984229,      -8.775750469,      -3.287635906,     0.05623185246,       1.167905728
         17,           0,         205,      -8.000984523,      -7.004344305,      -7.394731006,      -8.778054856,      -3.300153615,     0.05400362362,       1.178585552
         18,           0,         202,       -8.00387468,      -6.979914654,      -7.398627789,      -8.784933998,      -3.311986302,      0.0519096026,        1.18826339
         19,           0,         198,      -8.000785776,      -6.947653876,      -7.399730319,      -8.792136673,      -3.325803849,     0.04986903347,       1.196693266
         20,           0,         195,      -8.001259116,      -6.921778537,      -7.405594094,       -8.80135559,      -3.339141834,     0.04789524576,       1.203942758
         21,           0,         192,      -8.003397306,      -6.895683429,      -7.408316645,      -8.810382902,      -3.352265825,     0.04602004348,       1.210395297
         22,           0,         187,      -8.000804829,      -6.857005322,      -7.389053667,      -8.816362259,      -3.365567949,     0.04428238559,       1.216277931
         23,           0,         184,      -8.001736558,      -6.832009762,      -7.386917316,      -8.823428515,      -3.376064973,     0.04270592312,       1.221766141
         24,           0,         182,      -8.005479158,      -6.812469877,      -7.400120167,      -8.828497406,      -3.386946975,     0.04124380138,       1.226981816
         25,           0,         180,      -8.004134594,      -6.792904266,      -7.416114442,      -8.831069536,      -3.399160723,     0.03987730142,       1.231786065
         26,           0,         178,      -8.000645831,      -6.773935506,      -7.428712638,      -8.833942311,       -3.41319533,      0.0385973343,       1.236170969
         27,           0,         177,      -8.005668809,      -6.762964407,      -7.441421911,      -8.839008658,      -3.428577902,     0.03739412117,       1.240110771
         28,           0,         175,      -8.003060347,      -6.745016021,      -7.445336456,       -8.84380979,       -3.44569397,     0.03626494753,       1.243714606
         29,           0,         174,      -8.005707075,      -6.735338403,      -7.452871832,      -8.851154419,      -3.461316696,     0.03521590932,       1.246929235
         30,           0,         172,      -8.002309173,      -6.718750062,      -7.453505349,      -8.857593152,      -3.475415499,     0.03424077141,       1.249896549
         31,           0,         171,      -8.005118639,       -6.71031056,      -7.459807308,      -8.866173919,      -3.488608185,     0.03333391058,       1.252514119
         32,           0,         169,      -8.003537445,      -6.694854891,      -7.460967723,       -8.87299391,      -3.500841963,     0.03249447742,       1.254937793
         33,           0,         168,      -8.006879145,      -6.687344164,      -7.468750405,      -8.882590637,      -3.513585995,     0.03171097069,       1.257058941
         34,           0,         166,      -8.005341933,      -6.672217418,      -7.473086222,      -8.890126699,      -3.525846224,     0.03098994506,       1.259036062
         35,           0,         164,      -8.000838666,      -6.656833834,      -7.477236444,      -8.897505767,      -3.538425913,      0.0303216025,        1.26078509
         36,           0,         163,      -8.004513683,      -6.649351889,      -7.486579002,      -8.906689792,      -3.551037957,     0.02969673523,       1.262336724
         37,           0,         161,      -8.003231536,      -6.632696081,      -7.488105354,      -8.913052434,      -3.564267045,     0.02912296061,        1.26376731
         38,           0,         160,      -8.006518026,      -6.624466285,      -7.494637081,      -8.921578013,      -3.577526516,     0.02857694389,       1.264963689
         39,           0,         158,      -8.006069528,      -6.606695714,      -7.491560579,      -8.927086301,      -3.591932026,     0.02808242428,       1.266082826
         40,           0,         156,      -8.004457206,      -6.589197497,      -7.487002291,      -8.932471748,      -3.606658304,     0.02761478465,       1.267013253
         41,           0,         154,      -8.004022126,       -6.57157105,      -7.481606329,      -8.937579847,      -3.620865003,     0.02718268149,       1.267823379
         42,           0,         152,      -8.004498436,      -6.554443474,       -7.47566277,       -8.94241151,      -3.634278504,     0.02677977944,       1.268516458
         43,           0,         149,       -8.00014776,      -6.528869368,      -7.461711758,      -8.944237503,      -3.647648593,     0.02641055294,       1.269118098
         44,           0,         148,      -8.003670925,      -6.521373938,      -7.463191141,      -8.951740884,      -3.657185783,     0.02604884975,       1.269554711
         45,           0,         146,      -8.004667635,      -6.504968427,       -7.45629339,      -8.955315626,      -3.666977046,     0.02573316585,       1.269997416
         46,           0,         144,      -8.000544196,      -6.489500188,      -7.448024382,      -8.958815066,      -3.675657919,     0.02542759242,       1.270323418
         47,           0,         144,      -8.006218349,      -6.492522106,       -7.45507804,      -8.967980724,      -3.683143255,      0.0251358937,       1.270527909
         48,           0,         142,      -8.000402321,      -6.477505482,      -7.444346048,      -8.969905589,      -3.691590015,     0.02488465954,       1.270767276
         49,           0,         142,      -8.004240362,      -6.482233034,      -7.452465028,      -8.978533718,      -3.699372708,     0.02463333468,       1.270862738
         50,           0,         141,      -8.002991126,      -6.478095894,      -7.451936908,      -8.982994515,      -3.707363217,     0.02441039809,       1.270942318
         51,           0,         141,      -8.009449429,      -6.484103831,      -7.462026541,      -8.990889383,      -3.715118124,     0.02419900932,       1.270952043
         52,           0,         140,      -8.007730013,      -6.480716058,      -7.462060917,      -8.994956283,      -3.722744125,     0.02400857268,       1.270937524
         53,           0,         139,        -8.0036763,      -6.478080357,      -7.462381527,      -8.999372866,      -3.729743733,     0.02383098658,       1.270869233
         54,           0,         139,      -8.010182379,      -6.485348593,      -7.472740826,      -9.007199012,      -3.736930373,     0.02366296628,       1.270734122
         55,           0,         138,      -8.006835848,      -6.482973793,      -7.470790461,      -9.010939289,      -3.743617284,     0.02351560012,       1.270602469
         56,           0,         138,      -8.012208488,      -6.490826189,       -7.48034676,      -9.018477518,      -3.750257653,     0.02337647992,       1.270418104
         57,           0,         137,      -8.005832505,       -6.48848642,      -7.477219796,      -9.021808592,      -3.756442394,     0.02325077342,       1.270215589
         58,           0,         137,      -8.009013407,      -6.496052575,      -7.487750553,      -9.029111164,       -3.76262039,     0.02313328482,       1.269968434
         59,           0,         137,      -8.012868466,      -6.503134026,      -7.496341159,      -9.035705455,      -3.768870606,     0.02302569214,       1.269697714
         60,           0,         136,      -8.004386736,      -6.500024572,       -7.49092638,      -9.038244285,      -3.774252406,      0.0229323762,       1.269432409
         61,           0,         136,      -8.006198885,      -6.506523516,      -7.498622174,      -9.044964392,      -3.779857271,     0.02284434338,       1.269123481
